T-001 | payment_declined
T-002 | damaged_item
T-003 | payment_declined
T-004 | unexpected_fee
T-005 | app_crash
T-006 | refund_pending
T-007 | password_reset_missing
T-008 | verification_phone_old
T-009 | app_crash
T-010 | tracking_stalled
T-011 | payment_declined
T-012 | package_not_received
T-013 | package_not_received
T-014 | unexpected_fee
T-015 | refund_pending
T-016 | verification_phone_old
T-017 | verification_phone_old
T-018 | verification_phone_old
T-019 | payment_declined
T-020 | tracking_stalled
T-021 | package_not_received
T-022 | password_reset_missing
T-023 | tracking_stalled
T-024 | tracking_stalled
T-025 | refund_pending
T-026 | app_crash
T-027 | payment_declined
T-028 | password_reset_missing
T-029 | duplicate_charge
T-030 | app_crash
T-031 | app_crash
T-032 | password_reset_missing
T-033 | duplicate_charge
T-034 | damaged_item
T-035 | package_not_received
T-036 | damaged_item
T-037 | duplicate_charge
T-038 | duplicate_charge
T-039 | app_crash
T-040 | tracking_stalled
T-041 | duplicate_charge
T-042 | unexpected_fee
T-043 | package_not_received
T-044 | password_reset_missing
T-045 | duplicate_charge
T-046 | unexpected_fee
T-047 | refund_pending
T-048 | verification_phone_old
T-049 | damaged_item
T-050 | package_not_received
T-051 | payment_declined
T-052 | verification_phone_old
T-053 | tracking_stalled
T-054 | refund_pending
T-055 | damaged_item
T-056 | unexpected_fee
T-057 | refund_pending
T-058 | unexpected_fee
T-059 | password_reset_missing
T-060 | package_not_received
