T-001 | password_reset_missing
T-002 | duplicate_charge
T-003 | duplicate_charge
T-004 | password_reset_missing
T-005 | payment_declined
T-006 | package_not_received
T-007 | app_crash
T-008 | app_crash
T-009 | damaged_item
T-010 | package_not_received
T-011 | damaged_item
T-012 | duplicate_charge
T-013 | refund_pending
T-014 | password_reset_missing
T-015 | payment_declined
T-016 | refund_pending
T-017 | verification_phone_old
T-018 | refund_pending
T-019 | tracking_stalled
T-020 | unexpected_fee
T-021 | tracking_stalled
T-022 | app_crash
T-023 | duplicate_charge
T-024 | app_crash
T-025 | damaged_item
T-026 | package_not_received
T-027 | package_not_received
T-028 | damaged_item
T-029 | payment_declined
T-030 | tracking_stalled
T-031 | unexpected_fee
T-032 | unexpected_fee
T-033 | refund_pending
T-034 | verification_phone_old
T-035 | unexpected_fee
T-036 | package_not_received
T-037 | payment_declined
T-038 | password_reset_missing
T-039 | unexpected_fee
T-040 | verification_phone_old
T-041 | payment_declined
T-042 | refund_pending
T-043 | password_reset_missing
T-044 | verification_phone_old
T-045 | verification_phone_old
T-046 | verification_phone_old
T-047 | tracking_stalled
T-048 | app_crash
T-049 | damaged_item
T-050 | package_not_received
T-051 | damaged_item
T-052 | unexpected_fee
T-053 | app_crash
T-054 | package_not_received
T-055 | unexpected_fee
T-056 | payment_declined
T-057 | refund_pending
T-058 | password_reset_missing
T-059 | tracking_stalled
T-060 | payment_declined
T-061 | duplicate_charge
T-062 | refund_pending
T-063 | package_not_received
T-064 | duplicate_charge
T-065 | tracking_stalled
T-066 | password_reset_missing
T-067 | password_reset_missing
T-068 | refund_pending
T-069 | damaged_item
T-070 | tracking_stalled
T-071 | verification_phone_old
T-072 | app_crash
T-073 | verification_phone_old
T-074 | payment_declined
T-075 | tracking_stalled
T-076 | duplicate_charge
T-077 | damaged_item
T-078 | app_crash
T-079 | duplicate_charge
T-080 | unexpected_fee
