T-001 | unexpected_fee
T-002 | duplicate_charge
T-003 | app_crash
T-004 | app_crash
T-005 | unexpected_fee
T-006 | damaged_item
T-007 | payment_declined
T-008 | package_not_received
T-009 | damaged_item
T-010 | app_crash
T-011 | duplicate_charge
T-012 | tracking_stalled
T-013 | unexpected_fee
T-014 | password_reset_missing
T-015 | refund_pending
T-016 | verification_phone_old
T-017 | damaged_item
T-018 | payment_declined
T-019 | tracking_stalled
T-020 | damaged_item
T-021 | password_reset_missing
T-022 | refund_pending
T-023 | tracking_stalled
T-024 | refund_pending
T-025 | unexpected_fee
T-026 | payment_declined
T-027 | verification_phone_old
T-028 | password_reset_missing
T-029 | payment_declined
T-030 | refund_pending
T-031 | tracking_stalled
T-032 | refund_pending
T-033 | unexpected_fee
T-034 | verification_phone_old
T-035 | payment_declined
T-036 | tracking_stalled
T-037 | app_crash
T-038 | tracking_stalled
T-039 | verification_phone_old
T-040 | package_not_received
T-041 | payment_declined
T-042 | verification_phone_old
T-043 | refund_pending
T-044 | duplicate_charge
T-045 | package_not_received
T-046 | package_not_received
T-047 | damaged_item
T-048 | package_not_received
T-049 | password_reset_missing
T-050 | app_crash
T-051 | verification_phone_old
T-052 | unexpected_fee
T-053 | package_not_received
T-054 | damaged_item
T-055 | duplicate_charge
T-056 | duplicate_charge
T-057 | password_reset_missing
T-058 | app_crash
T-059 | password_reset_missing
T-060 | duplicate_charge
