T-001 | refund_pending
T-002 | payment_declined
T-003 | app_crash
T-004 | refund_pending
T-005 | app_crash
T-006 | package_not_received
T-007 | app_crash
T-008 | unexpected_fee
T-009 | unexpected_fee
T-010 | unexpected_fee
T-011 | damaged_item
T-012 | verification_phone_old
T-013 | verification_phone_old
T-014 | password_reset_missing
T-015 | tracking_stalled
T-016 | tracking_stalled
T-017 | unexpected_fee
T-018 | tracking_stalled
T-019 | app_crash
T-020 | payment_declined
T-021 | package_not_received
T-022 | verification_phone_old
T-023 | duplicate_charge
T-024 | payment_declined
T-025 | duplicate_charge
T-026 | package_not_received
T-027 | package_not_received
T-028 | refund_pending
T-029 | payment_declined
T-030 | verification_phone_old
T-031 | damaged_item
T-032 | damaged_item
T-033 | duplicate_charge
T-034 | password_reset_missing
T-035 | refund_pending
T-036 | password_reset_missing
T-037 | damaged_item
T-038 | damaged_item
T-039 | tracking_stalled
T-040 | payment_declined
