T-001 | duplicate_charge
T-002 | unexpected_fee
T-003 | tracking_stalled
T-004 | refund_pending
T-005 | app_crash
T-006 | tracking_stalled
T-007 | tracking_stalled
T-008 | tracking_stalled
T-009 | unexpected_fee
T-010 | verification_phone_old
T-011 | verification_phone_old
T-012 | duplicate_charge
T-013 | refund_pending
T-014 | duplicate_charge
T-015 | duplicate_charge
T-016 | app_crash
T-017 | unexpected_fee
T-018 | tracking_stalled
T-019 | verification_phone_old
T-020 | unexpected_fee
T-021 | damaged_item
T-022 | duplicate_charge
T-023 | verification_phone_old
T-024 | damaged_item
T-025 | duplicate_charge
T-026 | tracking_stalled
T-027 | verification_phone_old
T-028 | tracking_stalled
T-029 | verification_phone_old
T-030 | app_crash
T-031 | payment_declined
T-032 | tracking_stalled
T-033 | payment_declined
T-034 | damaged_item
T-035 | app_crash
T-036 | tracking_stalled
T-037 | refund_pending
T-038 | payment_declined
T-039 | duplicate_charge
T-040 | payment_declined
T-041 | tracking_stalled
T-042 | refund_pending
T-043 | damaged_item
T-044 | app_crash
T-045 | unexpected_fee
T-046 | password_reset_missing
T-047 | package_not_received
T-048 | app_crash
T-049 | duplicate_charge
T-050 | verification_phone_old
T-051 | refund_pending
T-052 | password_reset_missing
T-053 | password_reset_missing
T-054 | unexpected_fee
T-055 | package_not_received
T-056 | duplicate_charge
T-057 | password_reset_missing
T-058 | app_crash
T-059 | package_not_received
T-060 | password_reset_missing
T-061 | damaged_item
T-062 | refund_pending
T-063 | refund_pending
T-064 | unexpected_fee
T-065 | password_reset_missing
T-066 | duplicate_charge
T-067 | password_reset_missing
T-068 | damaged_item
T-069 | app_crash
T-070 | tracking_stalled
T-071 | package_not_received
T-072 | damaged_item
T-073 | app_crash
T-074 | password_reset_missing
T-075 | payment_declined
T-076 | app_crash
T-077 | password_reset_missing
T-078 | password_reset_missing
T-079 | payment_declined
T-080 | password_reset_missing
T-081 | unexpected_fee
T-082 | app_crash
T-083 | tracking_stalled
T-084 | payment_declined
T-085 | password_reset_missing
T-086 | verification_phone_old
T-087 | refund_pending
T-088 | payment_declined
T-089 | damaged_item
T-090 | payment_declined
T-091 | app_crash
T-092 | refund_pending
T-093 | payment_declined
T-094 | tracking_stalled
T-095 | payment_declined
T-096 | app_crash
T-097 | duplicate_charge
T-098 | damaged_item
T-099 | damaged_item
T-100 | unexpected_fee
T-101 | verification_phone_old
