C-001 | NOT_SUPPORTED
C-002 | NOT_SUPPORTED
C-003 | NOT_SUPPORTED
C-004 | SUPPORTED
C-005 | SUPPORTED
C-006 | NOT_SUPPORTED
C-007 | SUPPORTED
C-008 | NOT_SUPPORTED
C-009 | SUPPORTED
C-010 | NOT_SUPPORTED
C-011 | SUPPORTED
C-012 | NOT_SUPPORTED
C-013 | NOT_SUPPORTED
C-014 | NOT_SUPPORTED
C-015 | SUPPORTED
C-016 | NOT_SUPPORTED
C-017 | NOT_SUPPORTED
C-018 | NOT_SUPPORTED
C-019 | NOT_SUPPORTED
C-020 | NOT_SUPPORTED
C-021 | NOT_SUPPORTED
C-022 | NOT_SUPPORTED
C-023 | SUPPORTED
C-024 | NOT_SUPPORTED

