C-001 | SUPPORTED
C-002 | NOT_SUPPORTED
C-003 | NOT_SUPPORTED
C-004 | NOT_SUPPORTED
C-005 | NOT_SUPPORTED
C-006 | NOT_SUPPORTED
C-007 | NOT_SUPPORTED
C-008 | SUPPORTED
C-009 | NOT_SUPPORTED
C-010 | NOT_SUPPORTED
C-011 | NOT_SUPPORTED
C-012 | SUPPORTED
C-013 | NOT_SUPPORTED
C-014 | NOT_SUPPORTED
C-015 | NOT_SUPPORTED
C-016 | NOT_SUPPORTED
C-017 | SUPPORTED
C-018 | NOT_SUPPORTED
C-019 | NOT_SUPPORTED
C-020 | NOT_SUPPORTED
C-021 | SUPPORTED
C-022 | NOT_SUPPORTED
C-023 | NOT_SUPPORTED
C-024 | SUPPORTED

