T-001 | damaged_item
T-002 | damaged_item
T-003 | tracking_stalled
T-004 | tracking_stalled
T-005 | tracking_stalled
T-006 | app_crash
T-007 | unexpected_fee
T-008 | password_reset_missing
T-009 | refund_pending
T-010 | duplicate_charge
T-011 | unexpected_fee
T-012 | verification_phone_old
T-013 | refund_pending
T-014 | tracking_stalled
T-015 | damaged_item
T-016 | password_reset_missing
T-017 | password_reset_missing
T-018 | verification_phone_old
T-019 | verification_phone_old
T-020 | tracking_stalled
T-021 | unexpected_fee
T-022 | payment_declined
T-023 | payment_declined
T-024 | unexpected_fee
T-025 | unexpected_fee
T-026 | tracking_stalled
T-027 | tracking_stalled
T-028 | unexpected_fee
T-029 | damaged_item
T-030 | tracking_stalled
T-031 | tracking_stalled
T-032 | refund_pending
T-033 | password_reset_missing
T-034 | tracking_stalled
T-035 | app_crash
T-036 | payment_declined
T-037 | tracking_stalled
T-038 | damaged_item
T-039 | unexpected_fee
T-040 | refund_pending
T-041 | refund_pending
T-042 | tracking_stalled
T-043 | payment_declined
T-044 | damaged_item
T-045 | password_reset_missing
T-046 | password_reset_missing
T-047 | password_reset_missing
T-048 | tracking_stalled
T-049 | tracking_stalled
T-050 | payment_declined
T-051 | verification_phone_old
T-052 | app_crash
T-053 | password_reset_missing
T-054 | duplicate_charge
T-055 | tracking_stalled
T-056 | payment_declined
T-057 | tracking_stalled
T-058 | unexpected_fee
T-059 | app_crash
T-060 | payment_declined
T-061 | verification_phone_old
T-062 | duplicate_charge
T-063 | duplicate_charge
T-064 | app_crash
T-065 | password_reset_missing
T-066 | password_reset_missing
T-067 | payment_declined
T-068 | app_crash
T-069 | unexpected_fee
T-070 | duplicate_charge
T-071 | tracking_stalled
T-072 | damaged_item
T-073 | account_verification
T-074 | verification_phone_old
T-075 | unexpected_fee
T-076 | refund_pending
T-077 | damaged_item
T-078 | payment_declined
T-079 | unexpected_fee
T-080 | app_crash
T-081 | unexpected_fee
T-082 | unexpected_fee
T-083 | refund_pending
T-084 | app_crash
T-085 | tracking_stalled
T-086 | tracking_stalled
T-087 | app_crash
T-088 | unexpected_fee
T-089 | verification_phone_old
T-090 | tracking_stalled
T-091 | password_reset_missing
T-092 | app_crash
T-093 | app_crash
T-094 | tracking_stalled
T-095 | refund_pending
T-096 | refund_pending
T-097 | account_verification
T-098 | damaged_item
