T-001 | package_not_received
T-002 | payment_declined
T-003 | duplicate_charge
T-004 | package_not_received
T-005 | verification_phone_old
T-006 | duplicate_charge
T-007 | verification_phone_old
T-008 | refund_pending
T-009 | app_crash
T-010 | damaged_item
T-011 | unexpected_fee
T-012 | password_reset_missing
T-013 | unexpected_fee
T-014 | password_reset_missing
T-015 | damaged_item
T-016 | tracking_stalled
T-017 | payment_declined
T-018 | refund_pending
T-019 | tracking_stalled
T-020 | tracking_stalled
