T-001 | package_not_received
T-002 | unexpected_fee
T-003 | app_crash
T-004 | verification_phone_old
T-005 | damaged_item
T-006 | package_not_received
T-007 | verification_phone_old
T-008 | damaged_item
T-009 | unexpected_fee
T-010 | payment_declined
T-011 | app_crash
T-012 | duplicate_charge
T-013 | refund_pending
T-014 | refund_pending
T-015 | refund_pending
T-016 | password_reset_missing
T-017 | tracking_stalled
T-018 | duplicate_charge
T-019 | password_reset_missing
T-020 | password_reset_missing
