C-001 | SUPPORTED | E001-01,E001-04,E001-06,E001-07,E001-10,E001-12,E001-13
C-002 | SUPPORTED | E002-01,E002-04,E002-05,E002-06,E002-07,E002-10,E002-11
C-003 | SUPPORTED | E003-04,E003-05,E003-06,E003-10,E003-11,E003-12,E003-13
C-004 | SUPPORTED | E004-01,E004-02,E004-04,E004-05,E004-06,E004-07,E004-09,E004-10,E004-11
C-005 | SUPPORTED | E005-02,E005-05,E005-06,E005-08,E005-09,E005-10,E005-11,E005-12
C-006 | SUPPORTED | E006-02,E006-04,E006-05,E006-07,E006-08,E006-10,E006-11,E006-12
C-007 | SUPPORTED | E007-03,E007-05,E007-07,E007-08,E007-10,E007-11,E007-12
C-008 | SUPPORTED | E008-01,E008-03,E008-04,E008-05,E008-06,E008-07,E008-09,E008-11,E008-12
C-009 | SUPPORTED | E009-02,E009-05,E009-06,E009-07,E009-09,E009-10,E009-11,E009-12
C-010 | SUPPORTED | E010-02,E010-03,E010-04,E010-05,E010-06,E010-07,E010-08,E010-10,E010-11,E010-12
C-011 | SUPPORTED | E011-01,E011-03,E011-04,E011-05,E011-06,E011-07,E011-08,E011-10,E011-11,E011-12
C-012 | SUPPORTED | E012-01,E012-03,E012-04,E012-05,E012-06,E012-07,E012-08,E012-10,E012-11,E012-12
C-013 | SUPPORTED | E013-01,E013-03,E013-04,E013-05,E013-06,E013-07,E013-08,E013-09,E013-10,E013-11
C-014 | SUPPORTED | E014-01,E014-02,E014-03,E014-04,E014-05,E014-06,E014-07,E014-08,E014-09,E014-10,E014-11,E014-12
C-015 | SUPPORTED | E015-01,E015-02,E015-03,E015-04,E015-05,E015-06,E015-07,E015-09,E015-10,E015-11,E015-12
C-016 | SUPPORTED | E016-01,E016-02,E016-03,E016-04,E016-05,E016-06,E016-07,E016-08,E016-09,E016-10,E016-11,E016-12
C-017 | SUPPORTED | E017-01,E017-02,E017-03,E017-04,E017-05,E017-06,E017-07,E017-08,E017-09,E017-10,E017-11,E017-12
C-018 | SUPPORTED | E018-01,E018-02,E018-03,E018-04,E018-05,E018-06,E018-07,E018-08,E018-09,E018-10,E018-11,E018-12
C-019 | SUPPORTED | E019-01,E019-02,E019-03,E019-04,E019-05,E019-06,E019-07,E019-08,E019-09,E019-10,E019-11,E019-12,E019-13
C-020 | SUPPORTED | E020-01,E020-02,E020-03,E020-04,E020-05,E020-06,E020-07,E020-08,E020-09,E020-10,E020-11,E020-12,E020-13
C-021 | SUPPORTED | E021-01,E021-02,E021-03,E021-04,E021-05,E021-06,E021-07,E021-08,E021-09,E021-10,E021-11,E021-12,E021-13
C-022 | SUPPORTED | E022-01,E022-02,E022-03,E022-04,E022-05,E022-06,E022-07,E022-08,E022-09,E022-10,E022-11,E022-12,E022-13
C-023 | SUPPORTED | E023-01,E023-02,E023-03,E023-04,E023-05,E023-06,E023-07,E023-08,E023-09,E023-10,E023-11,E023-12,E023-13
C-024 | SUPPORTED | E024-01,E024-02,E024-03,E024-04,E024-05,E024-06,E024-07,E024-08,E024-09,E024-10,E024-11,E024-12,E024-13
