T-001 | refund_pending
T-002 | app_crash
T-003 | damaged_item
T-004 | package_not_received
T-005 | duplicate_charge
T-006 | payment_declined
T-007 | refund_pending
T-008 | tracking_stalled
T-009 | tracking_stalled
T-010 | password_reset_missing
T-011 | verification_phone_old
T-012 | app_crash
T-013 | damaged_item
T-014 | payment_declined
T-015 | payment_declined
T-016 | refund_pending
T-017 | refund_pending
T-018 | payment_declined
T-019 | app_crash
T-020 | refund_pending
T-021 | tracking_stalled
T-022 | password_reset_missing
T-023 | duplicate_charge
T-024 | unexpected_fee
T-025 | verification_phone_old
T-026 | package_not_received
T-027 | unexpected_fee
T-028 | two_factor_authentication
T-029 | damaged_item
T-030 | app_crash
T-031 | subscription_renewal
T-032 | password_reset_missing
T-033 | two_factor_authentication
T-034 | tracking_stalled
T-035 | package_not_received
T-036 | refund_pending
T-037 | password_reset_missing
T-038 | tracking_stalled
T-039 | tracking_stalled
T-040 |
