T-001 | unexpected_fee
T-002 | unexpected_fee
T-003 | tracking_stalled
T-004 | unexpected_fee
T-005 | damaged_item
T-006 | tracking_stalled
T-007 | tracking_stalled
T-008 | tracking_stalled
T-009 | tracking_stalled
T-010 | unexpected_fee
T-011 | verification_phone_old
T-012 | tracking_stalled
T-013 | damaged_item
T-014 | unexpected_fee
T-015 | unexpected_fee
T-016 | damaged_item
T-017 | unexpected_fee
T-018 | unexpected_fee
T-019 | unexpected_fee
T-020 | unexpected_fee
T-021 | verification_phone_old
T-022 | damaged_item
T-023 | refund_pending
T-024 | unexpected_fee
T-025 | damaged_item
T-026 | damaged_item
T-027 | tracking_stalled
T-028 | damaged_item
T-029 | tracking_stalled
T-030 | damaged_item
T-031 | unexpected_fee
T-032 | unexpected_fee
T-033 | unexpected_fee
T-034 | unexpected_fee
T-035 | unexpected_fee
T-036 | unexpected_fee
T-037 | unexpected_fee
T-038 | refund_pending
T-039 | verification_phone_old
T-040 | verification_phone_old
T-041 | unexpected_fee
T-042 | unexpected_fee
T-043 | tracking_stalled
T-044 | verification_phone_old
T-045 | verification_phone_old
T-046 | unexpected_fee
T-047 | verification_phone_old
T-048 | verification_phone_old
T-049 | refund_pending
T-050 | verification_phone_old
T-051 | unexpected_fee
T-052 | unexpected_fee
T-053 | tracking_stalled
T-054 | refund_pending
T-055 | unexpected_fee
T-056 | damaged_item
T-057 | verification_phone_old
T-058 | damaged_item
T-059 | tracking_stalled
T-060 | verification_phone_old
T-061 | verification_phone_old
T-062 | unexpected_fee
T-063 | verification_phone_old
T-064 | unexpected_fee
T-065 | verification_phone_old
T-066 | verification_phone_old
T-067 | damaged_item
T-068 | unexpected_fee
T-069 | damaged_item
T-070 | tracking_stalled
T-071 | tracking_stalled
T-072 | tracking_stalled
T-073 | unexpected_fee
T-074 | unexpected_fee
T-075 | unexpected_fee
T-076 | verification_phone_old
T-077 | damaged_item
T-078 | unexpected_fee
T-079 | unexpected_fee
T-080 |
