T-001 | refund_pending
T-002 | password_reset_missing
T-003 | damaged_item
T-004 | payment_declined
T-005 | verification_phone_old
T-006 | unexpected_fee
T-007 | verification_phone_old
T-008 | unexpected_fee
T-009 | refund_pending
T-010 | password_reset_missing
T-011 | damaged_item
T-012 | package_not_received
T-013 | payment_declined
T-014 | unexpected_fee
T-015 | refund_pending
T-016 | verification_phone_old
T-017 | damaged_item
T-018 | refund_pending
T-019 | verification_phone_old
T-020 | payment_declined
T-021 | unexpected_fee
T-022 | app_crash
T-023 | unexpected_fee
T-024 | unexpected_fee
T-025 | unexpected_fee
T-026 | package_not_received
T-027 | verification_phone_old
T-028 | payment_declined
T-029 | password_reset_missing
T-030 | package_not_received
T-031 | app_crash
T-032 | app_crash
T-033 | password_reset_missing
T-034 | package_not_received
T-035 | payment_declined
T-036 | unexpected_fee
T-037 | damaged_item
T-038 | tracking_stalled
T-039 | package_not_received
T-040 | package_not_received
T-041 | damaged_item
T-042 | payment_declined
T-043 | unexpected_fee
T-044 | password_reset_missing
T-045 | package_not_received
T-046 | app_crash
T-047 | package_not_received
T-048 | verification_phone_old
T-049 | damaged_item
T-050 | tracking_stalled
T-051 | damaged_item
T-052 | app_crash
T-053 | tracking_stalled
T-054 | damaged_item
T-055 | app_crash
T-056 | damaged_item
T-057 | refund_pending
T-058 | package_not_received
T-059 | damaged_item
T-060 |
