T-001 | unexpected_fee
T-002 | verification_phone_old
T-003 | damaged_item
T-004 | tracking_stalled
T-005 | verification_phone_old
T-006 | refund_pending
T-007 | refund_pending
T-008 | unexpected_fee
T-009 | tracking_stalled
T-010 | password_reset_missing
T-011 | unexpected_fee
T-012 | payment_declined
T-013 | unexpected_fee
T-014 | tracking_stalled
T-015 | app_crash
T-016 | payment_declined
T-017 | app_crash
T-018 | password_reset_missing
T-019 | package_not_received
T-020 | app_crash
T-021 | unexpected_fee
T-022 | password_reset_missing
T-023 | duplicate_charge
T-024 | verification_phone_old
T-025 | refund_pending
T-026 | refund_pending
T-027 | unexpected_fee
T-028 | damaged_item
T-029 | damaged_item
T-030 | payment_declined
T-031 | password_reset_missing
T-032 | payment_declined
T-033 | unexpected_fee
T-034 | app_crash
T-035 | refund_pending
T-036 | verification_phone_old
T-037 | package_not_received
T-038 | app_crash
T-039 | verification_phone_old
T-040 | damaged_item
T-041 | refund_pending
T-042 | duplicate_charge
T-043 | password_reset_missing
T-044 | app_crash
T-045 | password_reset_missing
T-046 | tracking_stalled
T-047 | package_not_received
T-048 | verification_phone_old
T-049 | tracking_stalled
T-050 | package_not_received
T-051 | refund_pending
T-052 | tracking_stalled
T-053 | damaged_item
T-054 | unexpected_fee
T-055 | tracking_stalled
T-056 | refund_pending
T-057 | password_reset_missing
T-058 | package_not_received
T-059 | app_crash
T-060 | password_reset_missing
T-061 | verification_phone_old
T-062 | damaged_item
T-063 | unexpected_fee
T-064 | verification_phone_old
T-065 | refund_pending
T-066 | tracking_stalled
T-067 | duplicate_charge
T-068 | damaged_item
T-069 | unexpected_fee
T-070 | payment_declined
T-071 | tracking_stalled
T-072 | damaged_item
T-073 | refund_pending
T-074 | app_crash
T-075 | unexpected_fee
T-076 | tracking_stalled
T-077 | unexpected_fee
T-078 | password_reset_missing
T-079 | damaged_item
T-080 | password_reset_missing
T-081 | refund_pending
T-082 | app_crash
T-083 | tracking_stalled
T-084 | duplicate_charge
T-085 | account_verification
T-086 | app_crash
T-087 | payment_declined
T-088 | payment_declined
T-089 | payment_declined
T-090 | unexpected_fee
T-091 | unexpected_fee
T-092 | password_reset_missing
T-093 | payment_declined
T-094 | refund_pending
T-095 | unexpected_fee
T-096 | app_crash
T-097 | password_reset_missing
T-098 | refund_pending
T-099 | refund_pending
T-100 | refund_pending
T-101 | refund_pending
T-102 | package_not_received
T-103 | verification_phone_old
T-104 | damaged_item
T-105 | damaged_item
T-106 | app_crash
T-107 | refund_pending
T-108 | tracking_stalled
T-109 | tracking_stalled
T-110 | account_verification
T-111 | payment_declined
T-112 | payment_declined
T-113 | refund_pending
T-114 | damaged_item
T-115 | unexpected_fee
T-116 | verification_phone_old
T-117 | duplicate_charge
T-118 | tracking_stalled
T-119 | tracking_stalled
T-120 |
